alpha3,pseudoYear,lrgdpnaPerCapita_chg7_temp,region,subRegion,year,lcgdpoPerCapitaUSA,country,isExtrapolated,lctfp,lrtfpna,lrgdpnaPerCapita,lrgdpoPerCapita,lcgdpoPerCapita,lrgdpnaPerCapita_chg7,lrgdpoPerCapita_chg7,lrtfpna_chg7,lrgdpnaPerCapita_chg1,lrgdpoPerCapita_chg1,lrtfpna_chg1,lcgdpoPerCapita_gap,lcgdpoPerCapita_gap_avg7,subRegion_new,isLAC,isAfrica,isEAT,lrgdpnaPerCapita_chg7_nonTFP,lrgdpnaPerCapita_chg1_nonTFP,cumulativeTFP,cumulativeNonTFP,lag_lcgdpoPerCapita_gap_avg7
AGO,1996,-0.0378732911009599,Africa,Sub-Saharan Africa,1996,10.6043368118321,Angola,0,-1.74228767731327,-0.737980553393828,8.3498966328474,7.80214197560928,7.82095578500207,-0.0378732911009599,0.000726598898424286,-0.110696868383449,0.0984708664347203,0.21527978221844,-0.0201819611054449,2.78338102683003,2.71414306244669,Africa,0,1,0,0.0728235772824893,0.118652827540165,-0.0276742170958623,0.0182058943206223,
AGO,2003,0.0212587527937098,Africa,Sub-Saharan Africa,2003,10.7573169934013,Angola,0,-1.68737608271242,-0.413304350731721,8.49870790240337,7.76655450764075,7.84046812317716,0.0212587527937098,-0.00508392399550431,0.0463823146660153,-0.00580284771413986,0.0591695889095805,-0.074697302039119,2.91684887022414,2.92532721223754,Africa,0,1,0,-0.0251235618723054,0.0688944543249792,-0.0160786384293585,0.011925003852546,2.71414306244669
AGO,2010,0.0567531684938688,Africa,Sub-Saharan Africa,2010,10.811535892488,Angola,0,-1.2028440924881,-0.0588685651734385,8.89598008186045,8.69760208642985,8.68143963844801,0.0567531684938688,0.133006796969871,0.0506336836511832,0.0117474532433999,0.28886115162093,0.0859682704227155,2.13009625403999,2.36669614470343,Africa,0,1,0,0.00611948484268554,-0.0742208171793156,-0.00342021751656267,0.0134548750632174,2.92532721223754
AGO,2017,-0.0104388095292516,Africa,Sub-Saharan Africa,2017,10.9076320435205,Angola,0,-1.08492472546492,0.27615809509201,8.82290841515569,8.51596162397594,8.56490429515845,-0.0104388095292516,-0.0259486374934157,0.0478609514664926,-0.0584529158880205,-0.0493231700488899,0.000630226234616005,2.34272774836205,2.08668931704162,Africa,0,1,0,-0.0582997609957443,-0.0590831421226365,0.00854502035006049,-0.00112006518571871,2.36669614470343
ARG,1996,0.0333385715184372,Americas,Latin America and the Caribbean,1996,10.6043368118321,Argentina,0,-0.202198369829041,-0.0386415618935088,9.43919563724137,9.53310987072316,9.52055520847061,0.0333385715184372,0.144597659997987,0.0263211132886022,0.0417258415916599,0.244795374193801,0.025636767165154,1.08378160336149,1.49691744042628,Latin America and the Caribbean,1,0,0,0.007017458229835,0.0160890744265059,0.00658027832215054,0.00175436455745875,
ARG,2003,-0.0115397707858172,Americas,Latin America and the Caribbean,2003,10.7573169934013,Argentina,0,-0.407605714202803,-0.149503224129866,9.35841724174065,9.2824173044519,9.27465286814201,-0.0115397707858172,-0.0358132237530371,-0.0158373803194796,0.0736575333678005,0.0705089877848213,0.060924018579498,1.48266412525929,1.30219216143466,Latin America and the Caribbean,1,0,0,0.00429760953366237,0.0127335147883025,0.00262093324228064,0.00282876694087434,1.49691744042628
ARG,2010,0.0481140522694185,Americas,Latin America and the Caribbean,2010,10.811535892488,Argentina,0,-0.228719720711311,-0.0139945295732118,9.69521560762658,9.67039834474786,9.66860208965499,0.0481140522694185,0.0554258628994226,0.0193583849366649,0.0860992038454889,0.102319206505928,0.0626640851838214,1.14293380283301,1.278532829826,Latin America and the Caribbean,1,0,0,0.0287556673327536,0.0234351186616675,0.00746052947644687,0.0100176837740627,1.30219216143466
ARG,2017,0.0016836944723987,Americas,Latin America and the Caribbean,2017,10.9076320435205,Argentina,0,-0.309717314652452,-0.0772875466885145,9.70700146893337,9.70909737273413,9.71450334914932,0.0016836944723987,0.00552843256946721,-0.00904185958790038,0.0186221244049403,0.02341061595539,0.0106459381899233,1.19312869437118,1.14669118022614,Latin America and the Caribbean,1,0,0,0.0107255540602991,0.00797618621501696,0.00520006457947177,0.0126990722891375,1.278532829826
ARM,1996,,Asia,Western Asia,1996,10.6043368118321,Armenia,0,-1.48592045549808,-1.01165890867964,8.00327872291498,8.04023128844441,8.01683829191339,,,,0.0727130969358596,0.11207312100896,0.08238242114271,2.58749851991871,2.35616782394597,Others,0,0,0,,-0.0096693242068504,,,
ARM,2003,0.0863310992302388,Asia,Western Asia,2003,10.7573169934013,Armenia,0,-0.929095331024021,-0.284394603634957,8.60759641752665,8.42006557640471,8.40986272330067,0.0863310992302388,0.0542620411371857,0.103894900720669,0.136703989804891,0.13486410678593,0.120082926092867,2.34745427010063,2.54389070815501,Others,0,0,0,-0.0175638014904302,0.0166210637120242,,,2.35616782394597
