Dataset: Income Distribution Database			
Measure			Gini (disposable income, post taxes and transfers)
Age group			Total population
Country	Year	Methodology	0-1 scale
Australia	1974	New income definition since 2012	..
Australia	1974	Income definition until 2011	..
Australia	1975	New income definition since 2012	..
Australia	1975	Income definition until 2011	..
Australia	1976	New income definition since 2012	..
Australia	1976	Income definition until 2011	..
Australia	1977	New income definition since 2012	..
Australia	1977	Income definition until 2011	..
Australia	1978	New income definition since 2012	..
Australia	1978	Income definition until 2011	..
Australia	1979	New income definition since 2012	..
Australia	1979	Income definition until 2011	..
Australia	1980	New income definition since 2012	..
Australia	1980	Income definition until 2011	..
Australia	1981	New income definition since 2012	..
Australia	1981	Income definition until 2011	..
Australia	1982	New income definition since 2012	..
Australia	1982	Income definition until 2011	..
Australia	1983	New income definition since 2012	..
Australia	1983	Income definition until 2011	..
Australia	1984	New income definition since 2012	..
Australia	1984	Income definition until 2011	..
Australia	1985	New income definition since 2012	..
Australia	1985	Income definition until 2011	..
Australia	1986	New income definition since 2012	..
Australia	1986	Income definition until 2011	..
Australia	1987	New income definition since 2012	..
Australia	1987	Income definition until 2011	..
Australia	1988	New income definition since 2012	..
Australia	1988	Income definition until 2011	..
Australia	1989	New income definition since 2012	..
Australia	1989	Income definition until 2011	..
Australia	1990	New income definition since 2012	..
Australia	1990	Income definition until 2011	..
Australia	1991	New income definition since 2012	..
Australia	1991	Income definition until 2011	..
Australia	1992	New income definition since 2012	..
Australia	1992	Income definition until 2011	..
Australia	1993	New income definition since 2012	..
Australia	1993	Income definition until 2011	..
Australia	1994	New income definition since 2012	..
Australia	1994	Income definition until 2011	..
Australia	1995	New income definition since 2012	..
Australia	1995	Income definition until 2011	0.309
Australia	1996	New income definition since 2012	..
Australia	1996	Income definition until 2011	..
Australia	1997	New income definition since 2012	..
Australia	1997	Income definition until 2011	..
Australia	1998	New income definition since 2012	..
Australia	1998	Income definition until 2011	..
Australia	1999	New income definition since 2012	..
Australia	1999	Income definition until 2011	..
Australia	2000	New income definition since 2012	..
Australia	2000	Income definition until 2011	0.317
Australia	2001	New income definition since 2012	..
Australia	2001	Income definition until 2011	..
Australia	2002	New income definition since 2012	..
Australia	2002	Income definition until 2011	..
Australia	2003	New income definition since 2012	..
Australia	2003	Income definition until 2011	..
Australia	2004	New income definition since 2012	..
Australia	2004	Income definition until 2011	0.315
Australia	2005	New income definition since 2012	..
Australia	2005	Income definition until 2011	..
Australia	2006	New income definition since 2012	..
Australia	2006	Income definition until 2011	..
Australia	2007	New income definition since 2012	..
Australia	2007	Income definition until 2011	..
Australia	2008	New income definition since 2012	..
Australia	2008	Income definition until 2011	0.336
Australia	2009	New income definition since 2012	..
Australia	2009	Income definition until 2011	..
Australia	2010	New income definition since 2012	..
Australia	2010	Income definition until 2011	0.334
Australia	2011	New income definition since 2012	..
Australia	2011	Income definition until 2011	..
Australia	2012	New income definition since 2012	0.326
Australia	2012	Income definition until 2011	0.324
Australia	2013	New income definition since 2012	..
Australia	2013	Income definition until 2011	..
Australia	2014	New income definition since 2012	0.337
Australia	2014	Income definition until 2011	..
Australia	2015	New income definition since 2012	..
Australia	2015	Income definition until 2011	..
Australia	2016	New income definition since 2012	0.33
Australia	2016	Income definition until 2011	..
Australia	2017	New income definition since 2012	..
Australia	2017	Income definition until 2011	..
